ResponseID,Timestamp,StudentID,Age,Gender,Department,Year,EventName,SessionRating,OverallRating,WouldRecommend,FeedbackText,PositiveWordsCount,NegativeWordsCount
R1000,2025-09-08 15:36:00,S15942,21,Female,Business,4th Year,Sports Day,2,3,Yes,It was decent but there is room for improvement in scheduling. The venue was fine but refreshments could be better.,0,0
R1001,2025-09-02 15:24:00,S11627,18,Male,Mechanical,2nd Year,Cultural Night,5,5,Yes,Excellent coordination and helpful volunteers. Kudos to the team!,3,0
R1002,2025-09-01 15:49:00,S16018,22,Male,Electronics,3rd Year,Cultural Night,4,4,Maybe,Excellent coordination and helpful volunteers. Kudos to the team!,3,0
R1003,2025-09-09 19:29:00,S18920,21,Other/Prefer not to say,Computer Science,1st Year,Sports Day,4,4,Yes,Great speakers and hands-on activities — learned a lot.,1,0
R1004,2025-09-04 12:06:00,S15876,22,Male,Mechanical,3rd Year,Alumni Talk,3,3,No,Average event — good topics but execution could improve.,1,1
R1005,2025-09-04 03:52:00,S10992,17,Male,Biotech,2nd Year,Sports Day,4,3,Maybe,"It served its purpose; not bad, not excellent.",0,2
R1006,2025-09-03 21:57:00,S16523,21,Other/Prefer not to say,Mechanical,4th Year,Sports Day,2,2,Maybe,Not satisfied. Sessions started late and organization was poor.,0,2
R1007,2025-09-02 23:06:00,S14520,25,Female,Business,1st Year,Sports Day,5,5,Yes,Very useful workshop with clear explanations and practical demos.,1,0
R1008,2025-09-09 18:06:00,S13109,18,Male,Electronics,3rd Year,Sports Day,4,4,Yes,Loved the event! Very well organized and insightful sessions.,2,0
R1009,2025-09-02 12:59:00,S12001,17,Other/Prefer not to say,Business,4th Year,Tech Symposium,4,4,Yes,Amazing experience. Would attend again and recommend to friends.,2,0
R1010,2025-09-09 01:47:00,S17450,25,Female,Civil,2nd Year,Workshop on ML,1,1,No,Too crowded and poor time management. Won't recommend.,0,3
R1011,2025-09-09 19:15:00,S11501,25,Male,Business,2nd Year,Cultural Night,4,5,Yes,Very useful workshop with clear explanations and practical demos.,1,0
R1012,2025-09-07 13:55:00,S13475,25,Male,Civil,1st Year,Alumni Talk,4,5,Maybe,Great speakers and hands-on activities — learned a lot.,1,0
R1013,2025-09-02 08:44:00,S19783,22,Male,Business,1st Year,Tech Symposium,4,3,Maybe,Neutral experience. Expected more interaction from speakers.,0,0
R1014,2025-09-08 02:14:00,S10349,24,Female,Electronics,3rd Year,Cultural Night,4,3,Maybe,"The event was okay. Some sessions were useful, some were average.",0,0
